['Morteza Yousefi | NFT Artist', 'morteza_yousefy', 15637, 3697, '🟥⬜️ 🟥🟥 Drip Artist 💧\n⭐️ 3D Artist\n⭐️ Photographer\n⭐️ Pixel Art\n⭐️ AI Artwork\n\n#NFT_Shill #NFTShill', True, 'https://yousefi.tv/']
['MR. BROWN', 'mrbrown_nft', 148459, 6763, 'meme sniper currently living in the trenches | 📩 DM for inquires | tg: https://t.co/NscY0jLog8', True, 'https://neo.bullx.io/p/mrbrown']
['AaronSosa.eth |.tez', 'aaronsosaphoto', 10375, 7733, 'Photographer | Visual Artist | #NFTartist | #NFTcollector | Educator | Founder at PFF IMAGO @imago_pff | My NFTs in https://t.co/a4AF6uCIX3', True, 'https://linktr.ee/aaronsosaphotography']
['AaronSosa.eth |.tez', 'aaronsosaphoto', 10374, 7733, 'Photographer | Visual Artist | #NFTartist | #NFTcollector | Educator | Founder at PFF IMAGO @imago_pff | My NFTs in https://t.co/a4AF6uCIX3', True, 'https://linktr.ee/aaronsosaphotography']
['Morteza Yousefi | NFT Artist', 'morteza_yousefy', 15638, 3697, '🟥⬜️ 🟥🟥 Drip Artist 💧\n⭐️ 3D Artist\n⭐️ Photographer\n⭐️ Pixel Art\n⭐️ AI Artwork\n\n#NFT_Shill #NFTShill', True, 'https://yousefi.tv/']
['RufusPlay NFT', 'RufusPlay1', 39217, 10061, '#NFT lover, #Altcoins Hunter #Crypto Trader...', False, '']
['Morteza Yousefi | NFT Artist', 'morteza_yousefy', 15638, 3697, '🟥⬜️ 🟥🟥 Drip Artist 💧\n⭐️ 3D Artist\n⭐️ Photographer\n⭐️ Pixel Art\n⭐️ AI Artwork\n\n#NFT_Shill #NFTShill', True, 'https://yousefi.tv/']
['Laya sadeghiⓂ️', 'Laya1388897', 1773, 2850, 'artist.visualartist.phisycalart.small writer', False, 'https://linktr.ee/mrs.sadeghi401']
['Morteza Yousefi | NFT Artist', 'morteza_yousefy', 15637, 3697, '🟥⬜️ 🟥🟥 Drip Artist 💧\n⭐️ 3D Artist\n⭐️ Photographer\n⭐️ Pixel Art\n⭐️ AI Artwork\n\n#NFT_Shill #NFTShill', True, 'https://yousefi.tv/']
['Del Broko', 'delbroko1979', 11498, 5637, '', False, '']
['Craze', 'Its_CryptoCraze', 1420, 1189, '|| Degen Crypto Addict || Market Insights and Analysis || Community Builder || Yapper ||', False, '']
['Morteza Yousefi | NFT Artist', 'morteza_yousefy', 15638, 3697, '🟥⬜️ 🟥🟥 Drip Artist 💧\n⭐️ 3D Artist\n⭐️ Photographer\n⭐️ Pixel Art\n⭐️ AI Artwork\n\n#NFT_Shill #NFTShill', True, 'https://yousefi.tv/']
['🜲 SIN #PGMI 🜲', 'SiNftGod', 2320, 1341, 'Founder of @puffsterznfts / CEO of @letzvape https://t.co/OZdaINAQNd', False, '']
['AaronSosa.eth |.tez', 'aaronsosaphoto', 10374, 7733, 'Photographer | Visual Artist | #NFTartist | #NFTcollector | Educator | Founder at PFF IMAGO @imago_pff | My NFTs in https://t.co/a4AF6uCIX3', True, 'https://linktr.ee/aaronsosaphotography']
['AaronSosa.eth |.tez', 'aaronsosaphoto', 10374, 7733, 'Photographer | Visual Artist | #NFTartist | #NFTcollector | Educator | Founder at PFF IMAGO @imago_pff | My NFTs in https://t.co/a4AF6uCIX3', True, 'https://linktr.ee/aaronsosaphotography']
['Morteza Yousefi | NFT Artist', 'morteza_yousefy', 15638, 3697, '🟥⬜️ 🟥🟥 Drip Artist 💧\n⭐️ 3D Artist\n⭐️ Photographer\n⭐️ Pixel Art\n⭐️ AI Artwork\n\n#NFT_Shill #NFTShill', True, 'https://yousefi.tv/']
['AaronSosa.eth |.tez', 'aaronsosaphoto', 10375, 7733, 'Photographer | Visual Artist | #NFTartist | #NFTcollector | Educator | Founder at PFF IMAGO @imago_pff | My NFTs in https://t.co/a4AF6uCIX3', True, 'https://linktr.ee/aaronsosaphotography']
['AaronSosa.eth |.tez', 'aaronsosaphoto', 10375, 7733, 'Photographer | Visual Artist | #NFTartist | #NFTcollector | Educator | Founder at PFF IMAGO @imago_pff | My NFTs in https://t.co/a4AF6uCIX3', True, 'https://linktr.ee/aaronsosaphotography']
['AaronSosa.eth |.tez', 'aaronsosaphoto', 10375, 7733, 'Photographer | Visual Artist | #NFTartist | #NFTcollector | Educator | Founder at PFF IMAGO @imago_pff | My NFTs in https://t.co/a4AF6uCIX3', True, 'https://linktr.ee/aaronsosaphotography']
